(8.33,0.64)
(9.55,-2.82)
(-8.24,2.59)
(-3.59,0.70)
(-2.62,8.47)
(-7.51,-8.62)
(8.60,9.76)
(-7.91,-9.15)
(2.65,-4.64)
(-8.16,4.30)
(-8.96,-8.91)
(-8.94,6.18)
(-4.21,1.83)
(-3.02,-4.63)
(4.97,5.51)
(3.14,7.35)
(-5.22,0.06)
(8.17,-2.76)
(0.49,-8.00)
(-2.67,6.65)
(-8.14,-3.70)
(-9.04,4.15)
(5.35,-3.07)
(3.95,8.62)
(-5.22,-3.09)
(-3.15,5.76)
(8.45,-7.43)
(6.48,7.49)
(-8.92,-0.71)
(3.09,7.54)
(-4.65,-2.35)
(9.20,6.52)
(-9.40,0.32)
(4.68,1.83)
(-6.71,6.95)
(7.82,-0.97)
(-6.16,2.50)
(-9.87,7.78)
(-1.21,-7.81)
(5.43,-5.73)
(2.95,1.75)
(8.47,6.80)
(5.19,1.69)
(-2.28,-2.85)
(-7.00,4.42)
(8.17,-3.43)
(3.52,-5.98)
(6.09,-5.82)
(-4.21,7.66)
(2.64,6.18)
